Cidade;Latitude;Longitude
Angical;-6.0882375;-42.7491827
Campo Maior;-4.8301483;-42.1907251
Cocal;-3.4731464;-41.5637475
Corrente;-10.4365186;-45.1921409
Teresina;-5.0933825;-42.8811666
Floriano;-6.7792474;-43.0393017
Oeiras;-7.0138552;-42.1440123
Parnaíba;-2.9304021;-41.7656828
Paulistana;-8.1359682;-41.1504151
Pedro II;-4.4312711;-41.4730891
Picos;-7.0724447;-41.5076286
Pio IX;-6.8360116;-40.6233257
Piripiri;-4.2776849;-41.8103339
São João;-8.3274006;-42.5462513
São Raimundo Nonato;-9.0141181;-42.7108118
Uruçuí;-7.2410696;-44.5627469
Valença do Piauí;-6.4050956;-41.7469261
